GYB,76.7253
XS95,78.1138
3T5,80.1625
TE75,78.2642
RCK,75.8993
XA40,82.0684
34R,80.1925
9TE7,65.2977
XS24,63.6834
T35,78.3165
9XS0,80.968
TA75,62.5218
XS17,85.7159
XS49,61.7725
42TE,74.5025
1XA5,58.6281
9TX1,90.5044
VCT,85.6672
06TA,62.344
T85,60.4543
5TA3,59.6254
1T9,92.2929
84R,55.9929
2TE5,56.7961
4XA4,59.0762
XA15,78.7171
TA57,78.0116
TE36,55.1807
73F,74.807
9TE6,96.784
TX72,52.9177
70TE,68.1195
88TE,96.9149
XA32,56.3888
0TS4,97.3061
CNW,69.3719
XA51,62.995
T15,92.3793
69TX,93.4654
9TE5,82.3031
9XS1,83.0539
TE17,60.8393
45TX,67.3513
RKP,75.7196
TX03,71.21
56TX,101.287
XS55,84.9054
XS67,82.5682
TX45,64.1862
40TS,63.9246
XS74,59.9339
TE50,83.126
34TE,79.0245
INJ,69.1692
RAS,73.0137
20TE,70.6173
TA26,74.4738
60TA,85.7937
XS73,42.6962
T71,47.6091
14XS,44.9302
19XS,71.443
XS59,57.956
8TA1,103.771
XS10,100.972
XA75,70.3294
RWV,107.485
62TA,40.9368
ACT,52.955
54TA,93.3985
5TA2,50.0873
JWY,90.0278
75TS,71.6796
1TS2,101.729
TS71,87.206
2TS6,88.885
72XS,109.583
2TS3,52.33
XS06,65.271
TE72,96.9825
5TS2,39.2255
22TE,109.94
75TE,52.1901
GPM,77.9115
TFP,60.6495
TA36,43.4053
25XS,97.0594
TS29,44.4399
6TX7,68.697
GKY,73.0894
9TS6,63.0336
RBD,95.743
11TE,59.9841
6XS2,60.8108
56TS,35.61
PKV,111.83
DFW,80.0848
TE99,53.2849
54X,45.6346
TA60,103.681
PWG,43.5129
TA83,62.9203
3XA0,57.5744
TX78,57.6173
7TA5,115.303
DAL,98.3086
XA85,44.7624
5TX6,77.6678
4TX4,63.635
5TX4,78.3149
6TX8,61.7381
30F,84.0007
TA01,56.0207
76TX,87.7819
72TS,117.043
31TX,42.9353
RFG,47.4114
TS00,65.9278
TA21,73.3586
0TX5,73.3587
5TX0,80.8005
LHB,116.885
0TX7,69.9922
ADS,100.516
TX74,53.0942
TA77,95.3
65XS,52.2032
6TE5,117.74
8TS1,58.4127
5TS3,112.995
F69,100.764
TX29,111.237
00TS,58.9677
8TX6,110.428
2TE3,93.3691
3XS0,79.7115
9TE4,117.83
NGP,55.6146
TE16,51.0344
06XS,82.6122
47TA,97.2992
TS27,120.115
1TE5,119.165
2TS0,72.7724
TX22,70.8259
TE87,51.0255
XS60,95.6614
TE96,28.8437
78TE,46.0684
TE81,78.0795
LNC,110.795
6TS4,34.2651
6TS8,121.109
3T8,40.4087
46XS,77.0551
TE47,48.8561
4TA1,76.3648
TE92,39.0101
3TX9,54.8768
TX67,51.5174
6XS8,77.4096
41XS,28.3711
6TA3,110.91
04TX,40.2674
NWL,54.3922
XA78,81.2625
1XS2,27.1019
T13,113.943
TPL,32.3317
5TA1,32.6547
26R,122.099
31TA,28.3089
32TA,27.2927
TX81,84.9308
4TX2,62.8603
F41,115.71
F50,42.2631
58F,73.8732
9R5,48.5311
T32,97.2472
DTO,67.9847
52F,63.7436
XA84,77.1462
FWS,52.9074
80XS,88.9171
1XA6,76.8503
6TX3,107.306
XS57,34.8389
T29,94.5025
TX82,40.308
8XS6,103.679
T74,25.8079
53TS,103.248
TS92,30.8861
7TE6,124.797
83TA,121.243
7TX4,59.4312
4TX8,66.3011
3XA1,72.9069
TX61,23.5574
TS40,109.731
71XS,68.7045
T31,111.399
T20,25.1626
TE24,69.1901
6TE3,125.738
68XS,101.852
13TE,125.998
79TS,111.371
85TA,106.492
7TS4,63.2183
36TX,102.641
0TS1,60.9527
T58,66.5902
1TS9,111.156
2XA4,107.668
TX75,126.058
9F1,33.9126
XS31,105.352
TA47,65.1296
TA80,97.6106
62TX,26.7637
8TS5,47.1105
XA00,60.8333
9F9,49.8881
69XS,105.845
OK31,78.853
TX32,66.0105
05TX,40.8602
OK29,86.7274
6TX2,128.591
66R,128.564
T80,113.618
37XS,38.5582
0T7,116.965
3T6,59.4382
AFW,56.2518
TX46,45.0554
